from_id,to_id,way_id,highway_type,way_name,length
13.2175_52.5291,13.2178_52.5291,25114177,service,,0.000300
13.2181_52.5293,13.2183_52.5292,25114178,service,,0.000224
13.2183_52.5292,13.2185_52.5292,25114178,service,,0.000200
13.2183_52.5292,13.2182_52.5289,25114186,service,,0.000316
13.2185_52.5292,13.2188_52.5292,25114178,service,,0.000300
13.2185_52.5292,13.2184_52.5289,25114185,service,,0.000316
13.2188_52.5292,13.219_52.5292,25114178,service,,0.000200
13.2188_52.5292,13.2187_52.5289,25114184,service,,0.000316
13.219_52.5292,13.2191_52.5292,25114178,service,,0.000100
13.219_52.5292,13.2189_52.5287,25114183,service,,0.000510
13.2191_52.5292,13.2192_52.5291,25114178,service,,0.000141
13.2192_52.5291,13.2195_52.5291,25114178,service,,0.000300
13.2192_52.5291,13.2191_52.5287,25114182,service,,0.000412
13.2195_52.5291,13.2197_52.5291,25114178,service,,0.000200
13.2195_52.5291,13.2194_52.5287,25114181,service,,0.000412
13.2197_52.5291,13.2201_52.5291,25114178,service,,0.000400
13.2197_52.5291,13.2196_52.5287,25114180,service,,0.000412
13.2201_52.5291,13.22_52.5287,25114178,service,,0.000412
13.2187_52.5289,13.2184_52.5289,25114179,service,,0.000300
13.2184_52.5289,13.2182_52.5289,25114179,service,,0.000200
13.2182_52.5289,13.218_52.529,25114179,service,,0.000224
13.218_52.529,13.2181_52.5293,25114179,service,,0.000316
13.218_52.529,13.2179_52.5289,117723372,service,,0.000141
13.2182_52.5287,13.2182_52.5286,25114187,service,,0.000100
13.2182_52.5286,13.2181_52.5285,25114187,service,,0.000141
13.2181_52.5285,13.2181_52.5285,25114187,service,,0.000000
13.2181_52.5285,13.218_52.5285,25114187,service,,0.000100
13.218_52.5285,13.2178_52.5284,25114187,service,,0.000224
13.2178_52.5284,13.2177_52.5284,25114187,service,,0.000100
13.2177_52.5284,13.2176_52.5284,25114187,service,,0.000100
13.2176_52.5284,13.2175_52.5284,25114187,service,,0.000100
13.2175_52.5284,13.2173_52.5284,25114187,service,,0.000200
13.2173_52.5284,13.2172_52.5284,25114187,service,,0.000100
13.2172_52.5284,13.217_52.5285,25114187,service,,0.000224
13.2172_52.5287,13.2173_52.5288,25114188,service,,0.000141
13.2172_52.5287,13.2172_52.5288,47901794,service,,0.000100
13.2173_52.5288,13.2174_52.5289,25114188,service,,0.000141
13.2174_52.5289,13.2174_52.5289,25114188,service,,0.000000
13.2174_52.5289,13.2175_52.529,25114188,service,,0.000141
13.2347_52.5332,13.2349_52.5331,25308380,residential,Werkring,0.000224
13.2349_52.5331,13.2351_52.533,615918667,residential,Werkring,0.000224
13.2361_52.5325,13.2359_52.5327,25308381,residential,Werkring,0.000283
13.2361_52.5325,13.2364_52.5321,1364877566,residential,Werkring,0.000500
13.2359_52.5327,13.2358_52.5328,25308381,residential,Werkring,0.000141
13.2358_52.5328,13.2356_52.533,25308381,residential,Werkring,0.000283
13.2356_52.533,13.2352_52.5331,25308381,residential,Werkring,0.000412
13.2352_52.5331,13.2349_52.5331,25308381,residential,Werkring,0.000300
13.2353_52.5332,13.2361_52.533,25308382,service,,0.000825
13.2361_52.533,13.2368_52.5328,25308382,service,,0.000728
13.2368_52.5328,13.2375_52.5326,25308382,service,,0.000728
13.2375_52.5326,13.2383_52.5323,25308382,service,,0.000854
13.2383_52.5323,13.239_52.532,25308382,service,,0.000762
13.239_52.532,13.2402_52.5314,25308382,service,,0.001342
13.2402_52.5314,13.2414_52.5309,25308382,service,,0.001300
13.2414_52.5309,13.2415_52.5307,25308382,service,,0.000224
13.2415_52.5307,13.2413_52.5305,25308382,service,,0.000283
13.2413_52.5305,13.2412_52.5303,25308382,service,,0.000224
13.2412_52.5303,13.241_52.5299,25308382,service,,0.000447
13.241_52.5299,13.2408_52.5296,25308382,service,,0.000361
13.2408_52.5296,13.2407_52.5294,25308382,service,,0.000224
13.2407_52.5294,13.2405_52.5291,25308382,service,,0.000361
13.2405_52.5291,13.2403_52.5288,25308382,service,,0.000361
13.2403_52.5288,13.2401_52.5287,25308382,service,,0.000224
